  0     0.000000     0.000000     0.000000   0
  1     0.402772    -0.013849     0.037470   1
  2     0.902625    -0.036325     0.054547   2
  3     1.398682    -0.066793     0.069367   3
  4     1.895025    -0.103168     0.077982   4
  5     2.395066    -0.141462     0.079939   5
  6     2.901189    -0.181176     0.099240   6
  7     3.417725    -0.250768     0.199016   7
  8     3.943611    -0.347264     0.150926   8
  9     4.481199    -0.543676     0.646091   9
 10     5.024823    -0.984121     0.844439  10
 11     5.575778    -1.350254     0.558005  11
 12     6.132993    -1.617253     0.392379  12
 13     6.698013    -1.769585     0.182701  13
 14     7.268721    -1.848841     0.050442  14
 15     7.845446    -1.837728     0.000000  15
